Stock ID,Stock Name,Jurisdiction,FMP,Science Center,Regional Ecosystem,FSSI Stock?,ITIS Taxon Serial Number,Scientific Name,Common Name,Stock Area,Assessment ID,Assessment Year,Assessment Month,Last Data Year,Update Type,Review Result,B Year,Estimated B,B Unit,B Basis,Blimit,Blimit Basis,Bmsy,Bmsy Basis,B/Blimit,B/Bmsy,MSY,MSY Unit
14407,Black rockfish - Oregon,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166727,Sebastes melanops,Black rockfish,Oregon,11787,2021,10,2020,,Full acceptance,2019,745,Billion Eggs,Stock Reproductive Output,329.6000061,SPR25%,527.4000244,SPR40% as proxy,2.25999999,1.412999988,556,Metric Tons
11302,Black rockfish - Southern Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,N,166727,Sebastes melanops,Black rockfish,Southern Pacific Coast,954,2007,11,2006,Benchmark,Full acceptance,2007,3227,million larvae,Female reproductive output,1144.625,SPB25%,1831.400024,"SPB40%

",2.819000006,1.761999965,1035.400024,mt
14409,Black rockfish - Washington,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,N,166727,Sebastes melanops,Black rockfish,Washington,6191,2015,11,2014,Benchmark,Full acceptance,2015,582.2540283,mt (female biomass only),Spawning biomass,338.9580078,SPB25%,542.3319702,"SPB40%

",1.718000054,1.074000001,,mt
14409,Black rockfish - Washington,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,N,166727,Sebastes melanops,Black rockfish,Washington,9424,2019,9,2018,,Full acceptance,2019,643,Billion Eggs,Spawning Output,338.9500122,SPR25%,542.2999878,SPR40% as proxy,1.896999955,1.18599999,337,Metric Tons
10404,Blackgill rockfish - Southern California,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166728,Sebastes melanostomus,Blackgill rockfish,Southern California,383,2005,12,2004,Benchmark,Full acceptance,2005,4977,mt (spawning biomass),Spawning biomass,2376,SPB25%,3801,SPB40%,2.095000029,1.309000015,223,mt
10404,Blackgill rockfish - Southern California,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166728,Sebastes melanostomus,Blackgill rockfish,Southern California,2904,2011,9,2010,Benchmark,Full acceptance,2011,359236,"
larvae",Female reproductive output,296950,SPB25%,475120,SPB40%,1.210000038,0.755999982,192,mt
10404,Blackgill rockfish - Southern California,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166728,Sebastes melanostomus,Blackgill rockfish,Southern California,7351,2017,6,2016,Full Update,Full acceptance,2017,812,billion larvae,Female reproductive output,516,SPB25%,825.5999756,SPB40%,1.574000001,0.984000027,188,mt
10404,Blackgill rockfish - Southern California,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166728,Sebastes melanostomus,Blackgill rockfish,Southern California,9442,2019,9,2018,,Full acceptance,2019,855.9840088,Billion Larvae,Spawning Output,515.9229736,SPR25%,825.4760132,SPR40%,1.659000039,1.036999941,189,Metric Tons
15351,Blue rockfish - Southern California,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,N,166730,Sebastes mystinus,Blue rockfish,Southern California,11839,2010,9,2009,New,Full acceptance,,,,,,,,,,,,
10413,Bocaccio - Southern Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166733,Sebastes paucispinis,Bocaccio,Southern Pacific Coast,390,2005,12,2004,Full Update,Full acceptance,2005,1430,billion eggs,Female reproductive output,3350.5,SPB25%,5360.799805,SPB40%,0.426999986,0.26699999,1768,mt
